method,x_0,x_min,f(x_min),iterations
cdm,[1. 1.],[1. 1.],0.0,0
newtons,[1. 1.],[1. 1.],0.0,1
cdm,[0. 0.],[0.99973525 0.99946956],7.019318861912619e-08,32
newtons,[0. 0.],[0.99999986 0.99999972],2.0744782532820043e-14,72
cdm,[-1. -1.],[1.00034238 1.00068638],1.1745114614938412e-07,38
newtons,[-1. -1.],[1. 1.],2.8596207814261678e-27,103
cdm,[ 1. -1.],[0.99977346 0.9995461 ],5.1397220591698125e-08,39
newtons,[ 1. -1.],[1. 1.],1.836566794967668e-30,2
cdm,[ 1.87 -2.3 ],[1.00055204 1.00110652],3.052041317334362e-07,50
newtons,[ 1.87 -2.3 ],[1.00000012 1.00000024],1.6234409585289163e-14,71
cdm,[1.2  1.67],[0.99971905 0.99943713],7.904293496804107e-08,22
newtons,[1.2  1.67],[1.00000004 1.00000009],2.4319194323320554e-15,26
